caja;centro;empresa;"tipo punto servicio"
1;"2026 - C/ MIGUEL SERVET";"2 - Empresa 2";"3 - 3 - Distribución"
2;"2028 - LA HUERTONA";"2 - Empresa 2";"1 - "
7;"2044 - SANTA URSULA";"2 - Empresa 2";"3 - 3 - Distribución"
5;"2066 - LA NORIA";"2 - Empresa 2";"5 - Sop. EMV y CTLS"
5;"2072 - LA NORIA";"2 - Empresa 2";"3 - 3 - Distribución"
