ID;Descripción
2;"CANADA (VISA)"
3;"COMUNIDAD EUROPEA (VISA)"
5;"SUDAMERICA (VISA)"
6;"REGION CEMEA (VISA)"
E;"AREA EC. EUROPEA (MASTERCARD)"
R;"EUROPA DEL ESTE (MASTERCARD)"
M;"RESTO DEL MUNDO (MASTERCARD)"
A;"Test Region"
0;"SIN REGION"
4;"REGION OCEMA (VISA)"
