ID;Descripción;"Permite offline"
9;Caixabank;Si
19;BBVA;Si
88;Redsys-Ciers44;Si
99;Sabadell-0081;Si
1;Sabadell-paycomet;Si
24;Bankinter;Si
35;Cajamar;Si
77;Redsys-Ciers69;Si
12;Unicaja;Si
30;Caixabank;Si
