ID;Descripción
2;MASTERCARD
4;"TARJETA 4B"
5;"TARJETA EURO6000"
6;"DINERS CLUB"
7;PRIVADAS
8;"AMERICAN EXPRESS"
9;JCB
10;CITICORP
11;CLAU
13;GASOLEO
15;"MULTIBANCO PORTUGAL"
16;TRANSPONDEDORES
22;"CHINA UNION PAY"
99;OTRAS
1;VISA
0;"SIN ASIGNAR"
