"Csb emisor";"Nombre emisor"
0138;"BANZPAY TECHNOLOGY LIMITED"
0139;"TURKIYE VAKIFLAR BANKASI T.A.O"
0140;"FIRST COMMAND BANK"
0141;"BANCO INDUSTRIAL S.A."
0142;"CREDIT UNION OF TEXAS"
0143;"DECTA LIMITED"
0144;"THE BANCORP BANK, NATIONAL ASSOCIATION"
0145;"CAPITAL ONE, NATIONAL ASSOCIAT"
0146;"JSC BANK FOR INVESTMENTS AND SAVINGS"
0147;"DIGITAL COMMERCE BANK"
0148;"(OFAC SANCTIONED) JOINT STOCK COMPANY AL"
0149;"(OFAC SANCTIONED) JSCB AK BARS (OJSC)"
0150;"ICBA BANCARD"
0151;"CAIXA DE CREDITO AGR�COLA MUTUO DE LEIRI"
0152;"GUADALUPE CREDIT UNION"
0153;"(OFAC SANCTIONED) LEVOBEREZHNY BANK (PJS"
0154;"HAWAII CENTRAL FEDERAL CREDIT UNION"
0155;"UNLIMINT EU LTD"
0156;"BANCO BICE"
0157;"THE BANCORP BANK, NATIONAL ASSOCIATION"
0158;"ATTIJARIWAFA BANK"
0159;"KAPITAL BANK"
0160;"SUMITOMO MITSUI CARD COMPANY,"
0161;"HERITAGE SOUTH COMMUNITY CREDIT UNION"
0162;"PSCU INCORPORATED"
0163;"THE NATIONAL BANK OF COXSACKIE"
0164;"BANCO COOPERATIVO COOPCENTRAL"
0165;"BANK OF BEIRUT SAL"
0166;"(OFAC SANCTIONED) BANK ZENIT"
0167;"BANCOLOMBIA S.A."
0168;"CREDIT UNION ""PAYMENT CENTER"
0169;"CLINTON BANK"
0170;"EML PAYMENT SOLUTIONS LIMITED"
0171;"CROSS RIVER BANK"
0172;"HOKKOKU CREDIT SERVICE CO., LT"
0173;"UNICREDIT BANK S.A."
0174;"TOKYO CREDIT SERVICES, LTD."
0175;"ASOCIACION BONAO DE AHORROS Y PRESTAMOS"
0176;"SAN JU SAN CARD, LTD"
0177;"UNICREDIT BANK S.A."
0178;UNIBANK
0179;"BANCO INV, S. A."
0180;"POSTAL SAVINGS BANK, JSC"
0181;"BANCO DE LA PROVINCIA DE BUENOS AIRES"
0182;B.B.V.A.
0183;"UNITED COMMUNITY BANK"
0184;"RESONA CARD CO., LTD."
0185;"TOHOKU SHINKIN BANK CARD CO.,"
0186;"BANCO MEDIOLANUM"
0187;"COOPERATIVA DE AHORRO Y CREDITO DE LA PE"
0188;"THE BANK OF NEW GLARUS"
0189;"KANE COUNTY TEACHERS CREDIT UNION"
0190;GBANK
0191;"NABIL BANK LTD."
0192;"CUSCAL LIMITED"
0193;"BANCO DE COSTA RICA"
0194;"TRELLANCE, INC."
0195;"CENTURY BANK OF KENTUCKY, INC."
0196;"CANADIAN IMPERIAL BANK OF COMM"
0197;"ICBA BANCARD"
0198;"BANCO COOPERATIVO ESPA�OL"
0199;"PATHWARD, N.A."
0200;"ANDBANK ESPA�A BANCA PRIVADA, S.A.U."
0201;"UNITED COMMUNITY BANK"
0202;"GCB BANK PLC"
0203;"UNITED COMMUNITY BANK"
0204;"ITS BANK"
0205;"ACCESS BANK (SL) LTD."
0206;"SAMSUNG CARD CO., LTD."
0207;"NORTHWEST BANK"
0208;"WYHY FEDERAL CREDIT UNION"
0209;"CAPITAL ONE BANK (CANADA BRANC"
0210;"BANQUE DE L'HABITAT DU SENEGAL"
0211;"POSTAL SAVINGS BANK JOINT-STOC"
0212;"TBBK CARD SERVICES, INC."
0213;"SUMUP PAYMENTS LIMITED"
0214;"BANCO MILLENNIUM ATLANTICO S.A."
0215;"WESTPAC NEW ZEALAND LIMITED"
0216;TARGOBANK
0217;"COMMERCIAL BANK OF CEYLON PLC"
0218;"SCOTIABANK & TRUST (CAYMAN) LTD."
0219;"WELLS FARGO BANK, NATIONAL ASSOCIATION"
