ID;Descripción
2;"SISTEMA 4B"
3;"SEMP (INTERNO REDSYS)"
5;"REDSYS-Priv SVR y Crossborder"
6;AMEX
8;DINERS
11;"ENTIDAD ANDORRANA"
12;"ENTIDAD EXTRANJERA"
13;"RED CECA"
17;"PAGOS INMEDIATOS"
23;"E5K MIGRADO A REDSYS"
9000;SERVIRED
1;"VISA ESPAÑA (INTERNO REDSYS)"
