id;descripcion;activa
6;"6-Trx OFF Denegadas";Si
5;"5-Trx OFF";Si
4;"4-Denegaci�n movil";Si
7;"7-Trx Anulaciones";Si
2;"2-Tiempo x Adquirente";Si
3;"3-Tiempo x Emisor";Si
